Office Name*','Phone Number','Fax Number','Physical Address Line 1*','Address Line 2','County*','City*','State*','ZIP*','ZIP+4
ADAMS Local Office','1-800-403-0864','1-800-403-0864','1145 BOLLMAN ST','','ADAMS','DECATUR','Indiana','46733','2115
ALLEN Local Office','1-800-403-0864','1-800-403-0864','201 E RUDISILL BLVD','STE 302','ALLEN','FORT WAYNE','Indiana','46806','1738
---BARTHOLOMEW Local Office','1-800-403-0864','1-800-403-0864','2330 POSHARD DR ','','BARTHOLOMEW','COLUMBUS','Indiana','47203','1845
---BENTON Local Office','1-800-403-0864','1-800-403-0864','305 E 6TH ST ','','BENTON','FOWLER','Indiana','47944','1417
--BLACKFORD Local Office','1-800-403-0864','1-800-403-0864','1800 N  WALNUT ST ','','BLACKFORD','HARTFORD CITY','Indiana','47348','1360
--BOONE Local Office','1-800-403-0864','1-800-403-0864','362 N MT ZION RD',' ','BOONE','LEBANON','Indiana','46052','8330
--BROWN Local Office','1-800-403-0864','1-800-403-0864','121 LOCUST LN','PO BOX 10','BROWN','NASHVILLE','Indiana','47448','7021
--CARROLL Local Office','1-800-403-0864','1-800-403-0864','901 PRINCE WILLIAM RD','STE F','CARROLL','DELPHI','Indiana','46923','1759
--CASS Local Office','1-800-403-0864','1-800-403-0864','1 CASS CITY CENTER','STE 301','CASS','LOGANSPORT','Indiana','46947','3141
--CLARK Local Office','1-800-403-0864','1-800-403-0864','1021 YOUNGSTOWN SHOPPING CTR',' ','CLARK','JEFFERSONVILLE','Indiana','47130','4253
--CLAY Local Office','1-800-403-0864','1-800-403-0864','1017 E NATIONAL AVE','','CLAY','BRAZIL','Indiana','47834','2713
--CLINTON Local Office','1-800-403-0864','1-800-403-0864','51 W WASHINGTON ST ','','CLINTON','FRANKFORT','Indiana','46041','1923
--CRAWFORD Local Office','1-800-403-0864','1-800-403-0864','4030 GOODMAN RIDGE RD','STE C','CRAWFORD','MARENGO','Indiana','47140','8706
DAVIESS Local Office','1-800-403-0864','1-800-403-0864','714 W WALNUT ST','','DAVIESS','WASHINGTON','Indiana','47501','2754
DEARBORN Local Office','1-800-403-0864','1-800-403-0864','230 MARY AVE','STE 100','DEARBORN','GREENDALE','Indiana','47025','2123
DECATUR Local Office','1-800-403-0864','1-800-403-0864','905 W KEEGAN'S WAY','STE 4','DECATUR','GREENSBURG','Indiana','47240','3403
DEKALB Local Office','1-800-403-0864','1-800-403-0864','570 N GRANDSTAFF DR','','DEKALB','AUBURN','Indiana','46706','1660
DELAWARE Local Office','1-800-403-0864','1-800-403-0864','1107 S TILLOTSON','STE 2','DELAWARE','MUNCIE','Indiana','47304','4517
DUBOIS Local Office','1-800-403-0864','1-800-403-0864','695 W 2ND ST ','','DUBOIS','JASPER','Indiana','47546','3240
ELKHART Local Office','1-800-403-0864','1-800-403-0864','1120 N MAIN ST ','STE 201','ELKHART','ELKHART','Indiana','46514','3203
FAYETTE Local Office','1-800-403-0864','1-800-403-0864','1501 N EASTERN AVE ','','FAYETTE','CONNERSVILLE','Indiana','47331','2154
FLOYD Local Office','1-800-403-0864','1-800-403-0864','824 UNIVERSITY WOODS DR','STE 11','FLOYD','NEW ALBANY','Indiana','47150','2426
FOUNTAIN Local Office','1-800-403-0864','1-800-403-0864','304 N STERLING ','STE A','FOUNTAIN','VEEDERSBURG','Indiana','47987','8550
FRANKLIN Local Office','1-800-403-0864','1-800-403-0864','12050 ST MARY'S RD','STE A','FRANKLIN','BROOKVILLE','Indiana','47012','9513
FULTON Local Office','1-800-403-0864','1-800-403-0864','1519 MAIN ST ','','FULTON','ROCHESTER','Indiana','46975','2619
GIBSON Local Office','1-800-403-0864','1-800-403-0864','104 E SPRUCE ST','','GIBSON','PRINCETON','Indiana','47670','1718
GRANT Local Office','1-800-403-0864','1-800-403-0864','830 N MILLER','','GRANT','MARION','Indiana','46952','2338
GREENE Local Office','1-800-403-0864','1-800-403-0864','104 COUNTY ROAD 70 E','STE D','GREENE','BLOOMFIELD','Indiana','47424','8738
HAMILTON Local Office','1-800-403-0864','1-800-403-0864','1101 S 10TH ST ','','HAMILTON','NOBLESVILLE','Indiana','46060','3560
HANCOCK Local Office','1-800-403-0864','1-800-403-0864','1786 MELODY LN','','HANCOCK','GREENFIELD','Indiana','46140','1191
HARRISON Local Office','1-800-403-0864','1-800-403-0864','2201 CONCORD AVE NW','STE 120','HARRISON','CORYDON','Indiana','47112','2060
HENDRICKS Local Office','1-800-403-0864','1-800-403-0864','4310 SARATOGA PKWY','STE 200','HENDRICKS','PLAINFIELD','Indiana','46168','9209
HENRY Local Office','1-800-403-0864','1-800-403-0864','517 NEW YORK AV','','HENRY','NEW CASTLE','Indiana','47362','4912
HOWARD Local Office','1-800-403-0864','1-800-403-0864','114 W JACKSON ST','','HOWARD','KOKOMO','Indiana','46901','4529
HUNTINGTON Local Office','1-800-403-0864','1-800-403-0864','1175 ETNA AVE','','HUNTINGTON','HUNTINGTON','Indiana','46750','3671
JACKSON Local Office','1-800-403-0864','1-800-403-0864','1406 E TIPTON ST ','','JACKSON','SEYMOUR','Indiana','47274','3533
JASPER Local Office','1-800-403-0864','1-800-403-0864','331 S COLLEGE AVE','','JASPER','RENSSELAER','Indiana','47978','3087
JAY Local Office','1-800-403-0864','1-800-403-0864','1043 W VOTAW ST','','JAY','PORTLAND','Indiana','47371','1251
JEFFERSON Local Office','1-800-403-0864','1-800-403-0864','493 W HUTCHINSON LN','STE A','JEFFERSON','MADISON','Indiana','47250','7830
JENNINGS Local Office','1-800-403-0864','1-800-403-0864','1171 N STATE ST','','JENNINGS','NORTH VERNON','Indiana','47265','7476
JOHNSON Local Office','1-800-403-0864','1-800-403-0864','1788 E JEFFERSON ST ','','JOHNSON','FRANKLIN','Indiana','46131','7277
KNOX Local Office','1-800-403-0864','1-800-403-0864','730 COLLEGE AVE','','KNOX','VINCENNES','Indiana','47591','3157
KOSCIUSKO Local Office','1-800-403-0864','1-800-403-0864','2307 E CENTER ST','STE E','KOSCIUSKO','WARSAW','Indiana','46580','3906
LA GRANGE Local Office','1-800-403-0864','1-800-403-0864','826 N DETROIT ST','','LA GRANGE','LAGRANGE','Indiana','46761','1112
LAKE - Gary','1-800-403-0864','1-800-403-0864','661 BROADWAY','','LAKE','GARY','Indiana','46402','2407
LAKE - Crown Point Office','1-800-403-0864','1-800-403-0864','1865 E SUMMIT ST','','LAKE','CROWN POINT','Indiana','46307','2768
LAKE - Glen Park Office','1-800-403-0864','1-800-403-0864','110 W RIDGE RD','','LAKE','GARY','Indiana','46408','2709
LAKE - East Chicago Office','1-800-403-0864','1-800-403-0864','3714 MAIN ST ','','LAKE','EAST CHICAGO','Indiana','46312','2224
LAKE - Hammond Office','1-800-403-0864','1-800-403-0864','5255 HOHMAN AVE','','LAKE','HAMMOND','Indiana','46320','1721
LAKE - Hobart Office','1-800-403-0864','1-800-403-0864','1871 E 37TH AVE ','','LAKE','HOBART','Indiana','46342','2579
LAPORTE Local Office','1-800-403-0864','1-800-403-0864','1551 S WOODLAND AVE ','','LAPORTE','MICHIGAN CITY','Indiana','46360','7124
LAWRENCE Local Office','1-800-403-0864','1-800-403-0864','918 16TH ST ','STE 100C','LAWRENCE','BEDFORD','Indiana','47421','3856
MADISON Local Office','1-800-403-0864','1-800-403-0864','222 E 10TH ST','STE E','MADISON','ANDERSON','Indiana','46016','1583
MARION CENTRAL Local Office','1-800-403-0864','1-800-403-0864','3266 N MERIDIAN ST ','STE 400','MARION','INDIANAPOLIS','Indiana','46208','5839
MARION NORTH Local Office','1-800-403-0864','1-800-403-0864','2620 KESSLER BLVD E DR','STE 100','MARION','INDIANAPOLIS','Indiana','46220','2891
MARION WEST Local Office','1-800-403-0864','1-800-403-0864','5610 CRAWFORDSVILLE RD','STE 500','MARION','INDIANAPOLIS','Indiana','46224','3715
MARION SOUTH Local Office','1-800-403-0864','1-800-403-0864','3906 MADISON AVENUE','','MARION','INDIANAPOLIS','Indiana','46227','1312
